domain,platform,catalog_size_sampled,currency,sar_ok,brand_overlap_pct,model_overlap_pct,discoverable,discovery_method,integration_difficulty,connector,priority,confidence,note,sample_hits
"amnkwm.zid.store","salla_or_zid","224","null","true","75","6","true","manual/seed","low","salla-json-ld (adapter EXISTS, covers Salla+Zid)","MEDIUM","0.724","salla/zid sitemap+json-ld","مكيف:هومر مكيف شباك 18000 وحدة, بارد فق | مكيف:مكيف شباك بيسك 18000 وحدة – بارد | مكيف:مكيف شباك فيشر/كمبريسور روتاري/بار | مكيف:مكيف ز.ترست شباك 18000 ب ، بارد"
"shrkhaldwaalbarqlltjarh.zid.store","salla_or_zid","300","null","true","57","1","true","manual/seed","low","salla-json-ld (adapter EXISTS, covers Salla+Zid)","LOW_WATCH","0.8","salla/zid sitemap+json-ld","مكيف:مكيف شباك وستنج هاوس 18000 وحدة با | مكيف:مكيف وستنج هاوس شباك 18000 وحدة با | هيتاشي:مكنسة هيتاشي فضي + أحمر 2100 واط 9 | هيتاشي:مكنسة هيتاشي برميل أحمر 2000واط CV"
"dara1.zid.store","salla_or_zid","124","null","true","24","0","true","manual/seed","low","salla-json-ld (adapter EXISTS, covers Salla+Zid)","LOW_WATCH","0.624","salla/zid sitemap+json-ld",""
"1opiel.zid.store","salla_or_zid","0","null","true","0","0","true","manual/seed","low","salla-json-ld (adapter EXISTS, covers Salla+Zid)","SKIP","0.4","salla/zid sitemap+json-ld · no catalogue sampled",""
